x t u
0.0546875 0.226562 0.187238
0.0625 0.226562 0.213663
0.0546875 0.234375 0.187696
0.0625 0.234375 0.214186
0.0390625 0.242188 0.134716
0.046875 0.242188 0.16148
0.0390625 0.25 0.135034
0.046875 0.25 0.161862
0.0546875 0.242188 0.188147
0.0625 0.242188 0.214701
0.0546875 0.25 0.188592
0.0625 0.25 0.215209
0.0703125 0.195312 0.237529
0.078125 0.195312 0.263416
0.0703125 0.203125 0.238149
0.078125 0.203125 0.264104
0.0859375 0.195312 0.289145
0.09375 0.195312 0.314699
0.0859375 0.203125 0.2899
0.09375 0.203125 0.315521
0.0703125 0.210938 0.238761
0.078125 0.210938 0.264783
0.0703125 0.21875 0.239365
0.078125 0.21875 0.265452
0.0859375 0.210938 0.290645
0.09375 0.210938 0.316332
0.0859375 0.21875 0.29138
0.09375 0.21875 0.317132
0.101562 0.195312 0.340064
0.109375 0.195312 0.365224
0.101562 0.203125 0.340952
0.109375 0.203125 0.366178
0.117188 0.195312 0.390164
0.125 0.195312 0.414869
0.117188 0.203125 0.391183
0.125 0.203125 0.415953
0.101562 0.210938 0.341829
0.109375 0.210938 0.367119
0.101562 0.21875 0.342693
0.109375 0.21875 0.368047
0.117188 0.210938 0.392189
0.125 0.210938 0.417022
0.117188 0.21875 0.39318
0.125 0.21875 0.418076
0.0703125 0.226562 0.23996
0.078125 0.226562 0.266112
0.0703125 0.234375 0.240547
0.078125 0.234375 0.266763
0.0859375 0.226562 0.292104
0.09375 0.226562 0.31792
0.0859375 0.234375 0.292819
0.09375 0.234375 0.318698
0.0703125 0.242188 0.241126
0.078125 0.242188 0.267405
0.0703125 0.25 0.241696
0.078125 0.25 0.268038
0.0859375 0.242188 0.293523
0.09375 0.242188 0.319465
0.0859375 0.25 0.294218
0.09375 0.25 0.32022
0.101562 0.226562 0.343545
0.109375 0.226562 0.368962
0.101562 0.234375 0.344385
0.109375 0.234375 0.369865
0.117188 0.226562 0.394158
0.125 0.226562 0.419116
0.117188 0.234375 0.395122
0.125 0.234375 0.420141
0.101562 0.242188 0.345214
0.109375 0.242188 0.370755
0.101562 0.25 0.34603
0.109375 0.25 0.371632
0.117188 0.242188 0.396072
0.125 0.242188 0.421151
0.117188 0.25 0.397009
0.125 0.25 0.422148
0.132812 0.132812 0.42957
0.140625 0.132812 0.453223
0.132812 0.140625 0.430846
0.140625 0.140625 0.454569
0.148438 0.132812 0.476603
0.15625 0.132812 0.499697
0.148438 0.140625 0.478019
0.15625 0.140625 0.501181
0.132812 0.148438 0.432106
0.140625 0.148438 0.455899
0.132812 0.15625 0.433349
0.140625 0.15625 0.457211
0.148438 0.148438 0.479417
0.15625 0.148438 0.502647
0.148438 0.15625 0.480797
0.15625 0.15625 0.504093
0.164062 0.132812 0.522489
0.171875 0.132812 0.544966
0.164062 0.140625 0.524041
0.171875 0.140625 0.546586
0.179688 0.132812 0.567116
0.1875 0.132812 0.588923
0.179688 0.140625 0.568801
0.1875 0.140625 0.590673
0.164062 0.148438 0.525574
0.171875 0.148438 0.548184
0.164062 0.15625 0.527086
0.171875 0.15625 0.549761
0.179688 0.148438 0.570464
0.1875 0.148438 0.5924
0.179688 0.15625 0.572105
0.1875 0.15625 0.594105
0.132812 0.164062 0.434576
0.140625 0.164062 0.458505
0.132812 0.171875 0.435787
0.140625 0.171875 0.459783
0.148438 0.164062 0.482158
0.15625 0.164062 0.505521
0.148438 0.171875 0.483502
0.15625 0.171875 0.506929
0.132812 0.179688 0.436982
0.140625 0.179688 0.461044
0.132812 0.1875 0.438161
0.140625 0.1875 0.462288
0.148438 0.179688 0.484828
0.15625 0.179688 0.508319
0.148438 0.1875 0.486136
0.15625 0.1875 0.509691
0.164062 0.164062 0.528579
0.171875 0.164062 0.551318
0.164062 0.171875 0.530051
0.171875 0.171875 0.552854
0.179688 0.164062 0.573726
0.1875 0.164062 0.595787
0.179688 0.171875 0.575324
0.1875 0.171875 0.597448
0.164062 0.179688 0.531505
0.171875 0.179688 0.55437
0.164062 0.1875 0.532939
0.171875 0.1875 0.555866
0.179688 0.179688 0.576902
0.1875 0.179688 0.599086
0.179688 0.1875 0.578458
0.1875 0.1875 0.600702
0.195312 0.132812 0.610376
0.203125 0.132812 0.631462
0.195312 0.140625 0.61219
0.203125 0.140625 0.633338
0.210938 0.132812 0.652166
0.21875 0.132812 0.672479
0.210938 0.140625 0.654104
0.21875 0.140625 0.674476
0.195312 0.148438 0.61398
0.203125 0.148438 0.63519
0.195312 0.15625 0.615747
0.203125 0.15625 0.637017
0.210938 0.148438 0.656017
0.21875 0.148438 0.676449
0.210938 0.15625 0.657904
0.21875 0.15625 0.678395
0.226562 0.132812 0.692386
0.234375 0.132812 0.711875
0.226562 0.140625 0.694443
0.234375 0.140625 0.71399
0.242188 0.132812 0.730937
0.25 0.132812 0.749557
