x y t u
0.125 0.1875 0.1875 0.659215
0 0.21875 0.15625 0.60701
0.03125 0.21875 0.15625 0.621701
0.0625 0.21875 0.15625 0.636331
0 0.25 0.15625 0.618113
0.03125 0.25 0.15625 0.633353
0.0625 0.25 0.15625 0.648544
0 0.21875 0.1875 0.618355
0.03125 0.21875 0.1875 0.632526
0.0625 0.21875 0.1875 0.646546
0 0.25 0.1875 0.630455
0.03125 0.25 0.1875 0.645192
0.0625 0.25 0.1875 0.659786
0.09375 0.21875 0.15625 0.65084
0.125 0.21875 0.15625 0.665161
0.09375 0.25 0.15625 0.663621
0.125 0.25 0.15625 0.678518
0.09375 0.21875 0.1875 0.66035
0.125 0.21875 0.1875 0.67387
0.09375 0.25 0.1875 0.674168
0.125 0.25 0.1875 0.688266
0 0.15625 0.21875 0.606793
0.03125 0.15625 0.21875 0.619307
0.0625 0.15625 0.21875 0.631571
0 0.1875 0.21875 0.620279
0.03125 0.1875 0.21875 0.633362
0.0625 0.1875 0.21875 0.646194
0 0.15625 0.25 0.62401
0.03125 0.15625 0.25 0.636018
0.0625 0.15625 0.25 0.647678
0 0.1875 0.25 0.638404
0.03125 0.1875 0.25 0.650978
0.0625 0.1875 0.25 0.663199
0.09375 0.15625 0.21875 0.643521
0.125 0.15625 0.21875 0.655094
0.09375 0.1875 0.21875 0.65871
0.125 0.1875 0.21875 0.670841
0.09375 0.15625 0.25 0.658926
0.125 0.15625 0.25 0.669696
0.09375 0.1875 0.25 0.674997
0.125 0.1875 0.25 0.686303
0 0.21875 0.21875 0.633594
0.03125 0.21875 0.21875 0.647251
0.0625 0.21875 0.21875 0.660658
0 0.25 0.21875 0.646675
0.03125 0.25 0.21875 0.660909
0.0625 0.25 0.21875 0.674894
0 0.21875 0.25 0.652645
0.03125 0.21875 0.25 0.665792
0.0625 0.21875 0.25 0.678581
0 0.25 0.25 0.666667
0.03125 0.25 0.25 0.680391
0.0625 0.25 0.25 0.693754
0.09375 0.21875 0.21875 0.673746
0.125 0.21875 0.21875 0.686442
0.09375 0.25 0.21875 0.688558
0.125 0.25 0.21875 0.701825
0.09375 0.21875 0.25 0.690939
0.125 0.21875 0.25 0.70279
0.09375 0.25 0.25 0.706676
0.125 0.25 0.25 0.719078
0.15625 0.15625 0.15625 0.65049
0.1875 0.15625 0.15625 0.663077
0.15625 0.1875 0.15625 0.664979
0.1875 0.1875 0.15625 0.678138
0.15625 0.15625 0.1875 0.656399
0.1875 0.15625 0.1875 0.66801
0.15625 0.1875 0.1875 0.671807
0.1875 0.1875 0.1875 0.683974
0.21875 0.15625 0.15625 0.675269
0.25 0.15625 0.15625 0.686995
0.21875 0.1875 0.15625 0.690895
0.25 0.1875 0.15625 0.703176
0.21875 0.15625 0.1875 0.679138
0.25 0.15625 0.1875 0.689713
0.21875 0.1875 0.1875 0.695645
0.25 0.1875 0.1875 0.706744
0.15625 0.21875 0.15625 0.679227
0.1875 0.21875 0.15625 0.692962
0.15625 0.25 0.15625 0.69316
0.1875 0.25 0.15625 0.70747
0.15625 0.21875 0.1875 0.687033
0.1875 0.21875 0.1875 0.699764
0.15625 0.25 0.1875 0.702003
0.1875 0.25 0.1875 0.7153
0.21875 0.21875 0.15625 0.706289
0.25 0.21875 0.15625 0.719127
0.21875 0.25 0.15625 0.721367
0.25 0.25 0.15625 0.734765
0.21875 0.21875 0.1875 0.711985
0.25 0.21875 0.1875 0.723616
0.21875 0.25 0.1875 0.728075
0.25 0.25 0.1875 0.740243
0.15625 0.15625 0.21875 0.666224
0.1875 0.15625 0.21875 0.676844
0.15625 0.1875 0.21875 0.682517
0.1875 0.1875 0.21875 0.693666
0.15625 0.15625 0.25 0.679921
0.1875 0.15625 0.25 0.689533
0.15625 0.1875 0.25 0.697045
0.1875 0.1875 0.25 0.707151
0.21875 0.15625 0.21875 0.686885
0.25 0.15625 0.21875 0.696281
0.21875 0.1875 0.21875 0.704217
0.25 0.1875 0.21875 0.714096
0.21875 0.15625 0.25 0.698467
